Image_ID;computer;Aniela;Francisco;Jakub;Jonas;Michaela;mean;match;scale(1-4);;
PAT_924_1757_704;2;3;3;3;3;2;2;yes;1. None Symmetry (vertical_similarity <= 0.8 and horizontal_similarity <= 0.8);;
PAT_549_1043_36;2;2;2;2;2;2;2;yes;2. Low Symmetry (vertical_similarity > 0.8 and horizontal_similarity > 0.8);;
PAT_677_1349_851;3;3;3;3;3;3;3;yes;3. Moderate Symmetry (vertical_similarity > 0.91 and horizontal_similarity > 0.91);;
PAT_664_1263_781;1;1;1;2;1;1;1;yes;4. Perfect Symmetry (vertical_similarity > 0.95 and horizontal_similarity > 0.95);;
PAT_1641_2886_284;2;3;2;2;3;2;2;yes;;;
PAT_1322_1137_201;1;2;3;2;2;1;1;yes;;;
PAT_1404_1393_540;2;1;1;1;1;2;1;no;;;
PAT_253_384_607;4;4;4;4;4;4;4;yes;;;
PAT_837_1582_714;2;2;2;2;2;2;2;yes;;Row Labels;Count of match
PAT_522_986_800;4;4;4;4;4;4;4;yes;;no;11
PAT_53_1370_288;1;2;2;2;1;1;1;yes;;yes;111
PAT_938_1789_693;3;3;3;3;3;3;3;yes;;;
PAT_854_1635_103;1;1;1;2;1;1;1;yes;;Grand Total;122
PAT_1690_3082_117;2;1;2;2;1;2;1;no;;;
PAT_595_1142_142;3;2;2;2;2;3;2;no;;;
PAT_1993_4077_139;1;1;1;1;1;1;1;yes;;;
PAT_835_1578_592;3;4;4;4;4;3;3;yes;;;
PAT_492_1784_50;2;2;2;2;2;2;2;yes;;;
PAT_492_4723_890;2;2;2;2;2;2;2;yes;;;
PAT_528_992_124;2;3;2;2;2;2;2;yes;;;
PAT_709_1331_253;2;2;2;2;2;2;2;yes;;;
PAT_1392_1352_778;2;2;2;2;2;2;2;yes;;;
PAT_1547_4232_115;3;3;3;3;3;2;2;no;;;
PAT_184_284_721;4;4;3;3;3;4;4;yes;;;
PAT_640_1210_293;3;3;3;3;3;3;3;yes;;;
PAT_1067_284_533;2;2;2;2;2;2;2;yes;;;
PAT_354_1814_619;2;2;2;2;2;2;2;yes;;;
PAT_1708_3153_799;1;1;1;1;1;1;1;yes;;;
PAT_224_1340_142;2;2;2;2;2;2;2;yes;;;
PAT_198_302_44;3;3;3;3;3;3;3;yes;;;
PAT_407_810_390;2;2;2;2;2;2;2;yes;;;
PAT_63_99_189;3;3;3;3;3;3;3;yes;;;
PAT_138_205_296;2;1;2;2;2;2;1;no;;;
PAT_90_138_369;4;4;4;3;3;4;4;yes;;;
PAT_1439_1522_211;2;3;3;2;2;2;2;yes;;;
PAT_705_1326_82;3;3;3;3;2;3;3;yes;;;
PAT_1805_3477_772;2;2;2;2;2;2;2;yes;;;
PAT_715_4073_115;2;1;2;2;3;2;1;no;;;
PAT_1572_2495_335;2;2;2;2;2;2;2;yes;;;
PAT_68_105_871;2;3;3;3;2;2;2;yes;;;
PAT_1506_1735_733;2;2;2;2;2;2;2;yes;;;
PAT_154_237_625;2;2;2;2;2;2;2;yes;;;
PAT_1252_866_852;2;2;2;2;2;2;2;yes;;;
PAT_1689_3075_38;2;2;2;2;2;2;2;yes;;;
PAT_1415_1439_295;2;2;2;2;2;3;2;yes;;;
PAT_63_99_736;3;3;3;3;3;2;2;no;;;
PAT_464_899_646;2;2;2;1;1;3;2;yes;;;
PAT_330_695_90;3;4;4;4;4;3;3;yes;;;
PAT_1707_3148_835;4;4;4;3;3;4;4;yes;;;
PAT_181_832_158;2;2;2;2;2;2;2;yes;;;
PAT_961_1818_992;2;2;2;1;1;2;2;yes;;;
PAT_126_191_304;3;3;3;2;2;3;3;yes;;;
PAT_683_1296_237;2;2;2;2;2;2;2;yes;;;
PAT_108_424_944;2;2;2;1;1;2;2;yes;;;
PAT_558_1072_486;4;4;4;4;4;4;4;yes;;;
PAT_834_4490_317;3;3;3;3;3;3;3;yes;;;
PAT_927_1759_749;3;3;3;2;2;3;3;yes;;;
PAT_97_151_503;3;2;3;2;2;3;2;no;;;
PAT_876_1664_579;2;3;2;1;1;2;2;yes;;;
PAT_690_1309_217;2;2;2;3;3;2;2;yes;;;
PAT_122_185_957;2;2;2;3;3;2;2;yes;;;
PAT_2011_4141_862;1;1;1;1;1;1;1;yes;;;
PAT_463_897_440;1;2;2;2;2;1;1;yes;;;
PAT_824_1561_796;3;3;3;3;3;3;3;yes;;;
PAT_1586_2624_615;3;3;3;3;3;3;3;yes;;;
PAT_859_1638_598;2;2;1;1;1;2;2;yes;;;
PAT_535_1011_567;3;3;3;3;3;3;3;yes;;;
PAT_793_1512_382;4;4;4;3;3;4;4;yes;;;
PAT_1736_3246_166;3;3;3;3;3;3;3;yes;;;
PAT_338_709_306;2;3;3;3;3;2;2;yes;;;
PAT_950_1804_64;2;2;2;2;2;2;2;yes;;;
PAT_796_1509_459;2;2;2;2;2;2;2;yes;;;
PAT_1608_2720_196;3;3;2;3;3;3;3;yes;;;
PAT_819_1541_727;2;2;2;2;2;2;2;yes;;;
PAT_621_3591_171;3;3;;4;4;3;3;yes;;;
PAT_16_24_691;3;3;3;3;3;3;3;yes;;;
PAT_834_1572_973;2;3;3;3;3;2;2;yes;;;
PAT_72_110_647;2;2;2;3;3;2;2;yes;;;
PAT_152_230_934;3;3;3;3;3;3;3;yes;;;
PAT_1388_3513_146;4;4;4;4;4;4;4;yes;;;
PAT_1406_1397_669;2;2;2;2;2;2;2;yes;;;
PAT_75_114_73;3;3;3;3;3;3;3;yes;;;
PAT_50_76_296;2;2;2;2;2;2;2;yes;;;
PAT_600_1141_988;3;3;3;3;3;3;3;yes;;;
PAT_624_1180_803;2;2;2;2;2;2;2;yes;;;
PAT_691_1311_2;3;3;3;3;3;3;3;yes;;;
PAT_1770_3344_274;2;2;2;2;2;2;2;yes;;;
PAT_362_744_283;3;3;2;2;2;3;3;yes;;;
PAT_198_853_778;2;2;2;2;2;2;2;yes;;;
PAT_649_1233_229;2;2;2;2;2;2;2;yes;;;
PAT_386_1554_362;1;1;1;1;1;1;1;yes;;;
PAT_641_1211_321;2;3;2;3;3;2;2;yes;;;
PAT_966_1826_587;2;2;2;2;2;2;2;yes;;;
PAT_1521_1778_763;2;2;2;2;2;2;2;yes;;;
PAT_601_1147_943;2;2;2;2;2;2;2;yes;;;
PAT_994_1866_913;3;3;3;3;3;3;3;yes;;;
PAT_557_1058_309;2;3;3;3;3;2;2;yes;;;
PAT_67_104_730;3;3;3;3;3;3;3;yes;;;
PAT_403_804_994;2;2;2;2;2;2;2;yes;;;
PAT_465_901_106;2;2;2;3;3;2;2;yes;;;
PAT_526_3205_611;3;2;2;2;2;3;2;no;;;
PAT_1414_1431_754;2;2;2;3;3;2;2;yes;;;
PAT_1130_501_181;2;2;2;2;2;2;2;yes;;;
PAT_841_1603_667;2;2;2;2;2;2;2;yes;;;
PAT_1022_115_132;2;2;2;2;2;2;2;yes;;;
PAT_1020_111_593;2;2;2;2;2;2;2;yes;;;
PAT_1709_3159_144;2;2;2;1;1;2;2;yes;;;
PAT_1735_3242_27;3;3;3;3;3;3;3;yes;;;
PAT_926_1758_714;1;1;1;1;1;1;1;yes;;;
PAT_154_235_162;3;3;3;3;3;3;3;yes;;;
PAT_831_1570_637;4;3;3;3;3;4;3;no;;;
PAT_1249_862_658;2;2;2;3;3;2;2;yes;;;
PAT_759_1433_914;3;3;2;2;2;3;3;yes;;;
PAT_1531_1800_683;3;3;2;2;2;3;3;yes;;;
PAT_2144_4738_120;3;3;3;3;3;3;3;yes;;;
PAT_1370_1274_515;2;3;2;3;3;2;2;yes;;;
PAT_862_1643_386;1;1;1;1;1;1;1;yes;;;
PAT_2103_4581_72;2;1;1;1;1;2;1;no;;;
PAT_1365_1253_912;2;2;2;2;2;2;2;yes;;;
PAT_340_714_314;3;3;2;2;2;3;3;yes;;;
PAT_717_1347_899;2;2;2;2;2;2;2;yes;;;
PAT_719_1361_234;2;2;2;2;2;2;2;yes;;;
